id|course_id|grade
7|1|8
7|1|8
7|1|6.5
7|1|5
7|1|9
7|1|5
7|1|10
7|1|11.5
7|3|5.5
7|3|5.5
7|3|9
7|3|9
7|4|11.4
7|4|9.9
7|4|11.9
7|4|7
7|4|13.5
7|4|9
7|4|11.8
7|4|10
7|5|3
7|5|7.5
7|5|4
7|5|4
7|5|10.5
7|5|6.5
7|5|12
7|5|11
7|10|14.5
7|10|15.5
7|10|13.5
7|10|10.5
7|10|14
7|6|6
7|6|7.5
7|6|8
7|6|8.8
7|7|7
7|7|17.5
7|7|10.5
7|7|8
7|7|10.5
7|7|11.5
7|7|8.5
7|2|8.5
7|2|18.5
7|2|12.5
7|8|8
7|8|13
7|8|7
7|8|6.5
7|8|0.5
7|9|17
7|9|15
7|9|13
7|9|10
7|9|18
10|1|5.5
10|1|10
10|1|7
10|1|9
10|1|10
10|1|9.5
10|1|6.5
10|1|6
10|3|5.5
10|3|9
10|3|8
10|3|9
10|4|7.1
10|4|13.4
10|4|13.4
10|4|13.5
10|4|13.7
10|4|15.5
10|4|13.7
10|4|12.1
10|5|4.5
10|5|10
10|5|6.5
10|5|8.5
10|5|9
10|5|8
10|5|4
10|5|8.5
10|5|5.5
10|5|4.5
10|10|14.5
10|10|14.5
10|10|13.5
10|10|10
10|10|11.5
10|6|5.3
10|6|6.7
10|6|6.7
10|7|12.5
10|7|13.5
10|7|8.5
10|7|12.5
10|7|14
10|7|10
10|7|14
10|2|13.5
10|2|16
10|2|19
10|8|8
10|8|9.5
10|8|9
10|8|3
10|9|14
10|9|16
10|9|18
10|9|13
10|9|13
13|1|10
13|1|6
13|1|8.5
13|1|8
13|1|4
13|1|6
13|1|7
13|1|4.5
13|3|9
13|3|7.5
13|3|4
13|3|4
13|4|11.4
13|4|12.9
13|4|11.2
13|4|15
13|4|13.7
13|4|10.7
13|4|9.4
13|4|12
13|5|5
13|5|8
13|5|5
13|5|5
13|5|6.5
13|5|12
13|5|6
13|5|8
13|5|8
13|5|4.5
13|10|9
13|10|11.5
13|10|15.5
13|10|10.5
13|10|9.5
13|6|5.4
13|6|6.4
13|6|9
13|6|9.8
13|7|13.5
13|7|6
13|7|12.5
13|7|6.5
13|7|12
13|7|16
13|7|18
13|2|13
13|2|15.5
13|2|13.5
13|8|13
13|8|11
13|8|17
13|8|6
13|8|7
13|9|17
13|9|13
13|9|17
13|9|16
13|9|13
16|1|5.5
16|1|10
16|1|9.5
16|1|6.5
16|1|9
16|1|6
16|1|8.5
16|1|8.5
16|3|9.5
16|3|8
16|3|5.5
16|3|5.5
16|4|10.7
16|4|9.7
16|4|12.3
16|4|15.6
16|4|11.1
16|4|10.1
16|4|15.1
16|4|10.6
16|5|7
16|5|9
16|5|4
16|5|4.5
16|5|9
16|5|9
16|5|10
16|5|2.5
16|5|7
16|5|5.5
16|10|14.5
16|10|8.5
16|10|10
16|10|11.5
16|10|10.5
16|6|2.6
16|6|2.2
16|6|2.2
16|6|7.4
16|7|10
16|7|12
16|7|14.5
16|7|5.5
16|7|12
16|7|13.5
16|7|14
16|2|9.5
16|2|16.5
16|2|11.5
16|8|5.5
16|8|6.5
16|8|11.5
16|8|2.5
16|9|13
16|9|15
16|9|11
16|9|16
16|9|14
26|1|5
26|1|8.5
26|1|10.5
26|1|6
26|1|9
26|1|8
26|3|7.5
26|3|10
26|3|10.5
26|3|8.5
26|4|11.4
26|4|11.5
26|4|11.7
26|4|15.3
26|4|8.8
26|4|10.4
26|4|15.9
26|4|13.8
26|5|8.5
26|5|9
26|5|5
26|5|9
26|5|6.5
26|5|8
26|5|5
26|5|5.5
26|5|4
26|5|4
26|10|17
26|10|11.5
26|10|11.5
26|10|15
26|10|11
26|6|12.2
26|6|0
26|6|11.1
26|6|8.3
26|7|14.5
26|7|13
26|7|14
26|7|12
26|7|15
26|7|11
26|7|15
26|2|10
26|2|13.5
26|2|13
26|8|13
26|8|11
26|8|9.5
26|8|6
26|8|6
26|9|unknown
26|9|14
26|9|15
26|9|12
26|9|15
52|1|5.5
52|1|7.5
52|1|4
52|1|6
52|1|9
52|1|9.5
52|1|5.5
52|1|5.5
52|3|8.5
52|3|10
52|3|8
52|3|10
52|4|9.3
52|4|11.7
52|4|11.5
52|4|15.9
52|4|12.8
52|4|8.8
52|4|13.8
52|4|14.6
52|5|8
52|5|4.5
52|5|7.5
52|5|5
52|5|8.5
52|5|8
52|5|6.5
52|5|8.5
52|5|8
52|5|10
52|10|15
52|10|10.5
52|10|12
52|10|15
52|10|13.5
52|6|8.4
52|6|11.7
52|6|8.4
52|6|9.5
52|7|13
52|7|unknown
52|7|8
52|7|11
52|7|7
52|7|18.5
52|7|8.5
52|2|14.5
52|2|10.5
52|2|20
52|8|14
52|8|14.5
52|8|13.5
52|8|10
52|8|10
52|9|16
52|9|15
52|9|15
52|9|12
52|9|15
78|1|9.5
78|1|5
78|1|3
78|1|11
78|1|9
78|1|8
78|1|10
78|1|7.5
78|3|3.5
78|3|4
78|3|6.5
78|3|11
78|4|13.5
78|4|14.3
78|4|12.2
78|4|12.4
78|4|14.1
78|4|10.4
78|4|12.2
78|4|9.6
78|5|9
78|5|5
78|5|6.5
78|5|10
78|5|7.5
78|5|4.5
78|5|2
78|5|6
78|5|7.5
78|5|4
78|10|14
78|10|13
78|10|13.5
78|10|12
78|6|5.8
78|6|6.2
78|6|1.6
78|6|5.8
78|7|12
78|7|15
78|7|13
78|7|15.5
78|7|10
78|7|8
78|7|15
78|2|16.5
78|2|16.5
78|2|12
78|8|14
78|8|14.5
78|8|8
78|8|11.5
78|8|4
78|9|13
78|9|15
78|9|14
78|9|15
78|9|13
113|1|9
113|1|8.5
113|1|8
113|1|8.5
113|1|6
113|1|10
113|1|7.5
113|1|7.5
113|3|9
113|3|8.5
113|3|7
113|3|6
113|4|10.3
113|4|15.5
113|4|11.7
113|4|11.8
113|4|13.5
113|4|9.9
113|4|12.1
113|4|13.6
113|5|9.5
113|5|9
113|5|10
113|5|10.5
113|5|7
113|5|5.5
113|5|13
113|5|7.5
113|5|6.5
113|5|11
113|10|14.5
113|10|11.5
113|10|14.5
113|10|9
113|10|15.5
113|6|10.8
113|6|5.4
113|6|4.1
113|6|8.4
113|7|11.5
113|7|11
113|7|12.5
113|7|10.5
113|7|11.5
113|7|13.5
113|7|11.5
113|2|20
113|2|11.5
113|2|16.5
113|8|5.5
113|8|9.5
113|8|12
113|8|11
113|8|3.5
113|9|14
113|9|15
113|9|20
113|9|15
113|9|14
120|1|9.5
120|1|5.5
120|1|8
120|1|9
120|1|3.5
120|1|4.5
120|1|9.5
120|3|7.5
120|3|5.5
120|3|3.5
